MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,...33
1,9,3,9E,N923XJ,5271,12478,JFK,"New York, NY",10792,BUF,"Buffalo, NY",2129,2147,18,1,2100-2159,2305,2303,0,2300-2359,0,,96,76,301,2,,,,,,
1,16,3,DL,N776DE,1012,12892,LAX,"Los Angeles, CA",14492,RDU,"Raleigh/Durham, NC",1035,1035,0,0,1000-1059,1815,1815,0,1800-1859,0,,280,280,2239,9,,,,,,
1,12,6,OO,N710SK,3257,11298,DFW,"Dallas/Fort Worth, TX",13377,MLU,"Monroe, LA",2050,2040,0,0,2000-2059,2205,2150,0,2200-2259,0,,75,70,293,2,,,,,,
1,19,6,NK,N903NK,762,15304,TPA,"Tampa, FL",10397,ATL,"Atlanta, GA",1130,1210,40,1,1100-1159,1309,1343,34,1300-1359,0,,99,93,406,2,9,0,25,0,0,
1,20,7,MQ,N263NN,3990,13930,ORD,"Chicago, IL",11618,EWR,"Newark, NJ",1512,,,,1500-1559,1827,,,1800-1859,1,C,135,,719,3,,,,,,
1,22,2,YX,N115HQ,4482,14122,PIT,"Pittsburgh, PA",11278,DCA,"Washington, DC",0621,0621,0,0,0600-0659,0739,0810,31,0700-0759,0,,78,109,204,1,0,0,31,0,0,
1,2,3,9E,N934XJ,5406,10792,BUF,"Buffalo, NY",12953,LGA,"New York, NY",0630,0627,0,0,0600-0659,0816,0744,0,0800-0859,0,,106,77,292,2,,,,,,
1,17,4,OO,N715SK,3139,12892,LAX,"Los Angeles, CA",11638,FAT,"Fresno, CA",1032,1032,0,0,1000-1059,1138,1145,7,1100-1159,0,,66,73,209,1,,,,,,
1,4,5,DL,N828DN,2555,12889,LAS,"Las Vegas, NV",13487,MSP,"Minneapolis, MN",1437,1451,14,0,1400-1459,1945,1937,0,1900-1959,0,,188,166,1299,6,,,,,,
1,15,2,WN,N7752B,310,12339,IND,"Indianapolis, IN",10821,BWI,"Baltimore, MD",0720,0716,0,0,0700-0759,0855,0853,0,0800-0859,0,,95,97,516,3,,,,,,
1,12,6,OO,N262SY,3736,13487,MSP,"Minneapolis, MN",13930,ORD,"Chicago, IL",1518,1557,39,1,1500-1559,1706,1731,25,1700-1759,0,,108,94,334,2,0,0,23,0,2,
